,Normalised City Pair,Departure Code,Arrival Code,Departure_lat,Departure_lon,Arrival_lat,Arrival_lon,Distance,City pair unique distance
0,"London, United Kingdom - New York, United States Of America",LHR,JFK,51.5,-0.45,40.64,-73.79,3452,1
1,"London, United Kingdom - New York, United States Of America",LHR,JFK,51.5,-0.45,40.64,-73.79,3452,1
2,"London, United Kingdom - New York, United States Of America",LHR,JFK,51.5,-0.45,40.64,-73.79,3452,1
3,"London, United Kingdom - New York, United States Of America",LHR,JFK,51.5,-0.45,40.64,-73.79,3452,1
4,"London, United Kingdom - New York, United States Of America",LHR,JFK,51.5,-0.45,40.64,-73.79,3452,1
5,"Johannesburg, South Africa - London, United Kingdom",JNB,LHR,-26.1,28.23,51.47,-0.45,5617,1
6,"Johannesburg, South Africa - London, United Kingdom",JNB,LHR,-26.1,28.23,51.47,-0.45,5617,1
7,"London, United Kingdom - New York, United States Of America",LHR,JFK,51.5,-0.45,40.64,-73.79,3452,1
8,"London, United Kingdom - New York, United States Of America",LHR,JFK,51.5,-0.45,40.64,-73.79,3452,1
9,"London, United Kingdom - New York, United States Of America",LHR,JFK,51.5,-0.45,40.64,-73.79,3452,1
10,"London, United Kingdom - New York, United States Of America",LHR,JFK,51.5,-0.45,40.64,-73.79,3452,1
11,"London, United Kingdom - New York, United States Of America",LHR,JFK,51.5,-0.45,40.64,-73.79,3452,1
12,"Johannesburg, South Africa - London, United Kingdom",JNB,LHR,-26.1,28.23,51.47,-0.45,5617,1
13,"Johannesburg, South Africa - London, United Kingdom",JNB,LHR,-26.1,28.23,51.47,-0.45,5617,1
14,"London, United Kingdom - Singapore, Singapore",SIN,LHR,1.3,103.98,51.47,-0.45,6767,1
15,"London, United Kingdom - Singapore, Singapore",SIN,LHR,1.3,103.98,51.47,-0.45,6767,1
16,"London, United Kingdom - New York, United States Of America",JFK,LCY,40.6,-73.79,51.5,0.05,3474,1
17,"London, United Kingdom - New York, United States Of America",JFK,LCY,40.6,-73.79,51.5,0.05,3474,1
18,"London, United Kingdom - New York, United States Of America",JFK,LCY,40.6,-73.79,51.5,0.05,3474,1
19,"London, United Kingdom - New York, United States Of America",JFK,LCY,40.6,-73.79,51.5,0.05,3474,1
20,"London, United Kingdom - New York, United States Of America",JFK,LCY,40.6,-73.79,51.5,0.05,3474,1
21,"London, United Kingdom - New York, United States Of America",LCY,JFK,51.5,0.05,40.64,-73.79,3472,1
22,"London, United Kingdom - New York, United States Of America",LCY,JFK,51.5,0.05,40.64,-73.79,3472,1
23,"London, United Kingdom - New York, United States Of America",LCY,JFK,51.5,0.05,40.64,-73.79,3472,1
24,"London, United Kingdom - New York, United States Of America",LCY,JFK,51.5,0.05,40.64,-73.79,3472,1
25,"London, United Kingdom - New York, United States Of America",LCY,JFK,51.5,0.05,40.64,-73.79,3472,1
26,"London, United Kingdom - Newark, United States Of America",EWR,LHR,40.7,-74.18,51.47,-0.45,3466,1
27,"Bombay, India - London, United Kingdom",LHR,BOM,51.5,-0.45,19.09,72.86,4486,1
28,"Bombay, India - London, United Kingdom",LHR,BOM,51.5,-0.45,19.09,72.86,4486,1
29,"Bombay, India - London, United Kingdom",LHR,BOM,51.5,-0.45,19.09,72.86,4486,1
30,"Dubai, United Arab Emirates - London, United Kingdom",DXB,LHR,25.3,55.35,51.47,-0.45,3417,1
31,"Dubai, United Arab Emirates - London, United Kingdom",DXB,LHR,25.3,55.35,51.47,-0.45,3417,1
32,"Dubai, United Arab Emirates - London, United Kingdom",DXB,LHR,25.3,55.35,51.47,-0.45,3417,1
33,"Dubai, United Arab Emirates - London, United Kingdom",DXB,LHR,25.3,55.35,51.47,-0.45,3417,1
34,"Delhi, India - London, United Kingdom",DEL,LHR,28.7,77.26,51.47,-0.45,4190,1
35,"Delhi, India - London, United Kingdom",DEL,LHR,28.7,77.26,51.47,-0.45,4190,1
36,"Delhi, India - London, United Kingdom",DEL,LHR,28.7,77.26,51.47,-0.45,4190,1
37,"New York, United States Of America - San Francisco, United States Of America",JFK,SFO,40.6,-73.79,37.61,-122.39,2587,1
38,"London, United Kingdom - Newark, United States Of America",EWR,LHR,40.7,-74.18,51.47,-0.45,3466,1
39,"Hong Kong, Hong Kong - London, United Kingdom",LHR,HKG,51.5,-0.45,22.32,113.94,5993,1
40,"Hong Kong, Hong Kong - London, United Kingdom",LHR,HKG,51.5,-0.45,22.32,113.94,5993,1
41,"Los Angeles, United States Of America - New York, United States Of America",JFK,LAX,40.6,-73.79,34.05,-118.24,2463,1
42,"Los Angeles, United States Of America - New York, United States Of America",JFK,LAX,40.6,-73.79,34.05,-118.24,2463,1
43,"Cape Town, South Africa - Johannesburg, South Africa",JNB,CPT,-26.1,28.23,-33.97,18.59,791,1
44,"New York, United States Of America - Sao Paulo, Brazil",JFK,GRU,40.6,-73.79,-23.42,-46.48,4742,1
45,"New York, United States Of America - Sao Paulo, Brazil",JFK,GRU,40.6,-73.79,-23.42,-46.48,4742,1
46,"New York, United States Of America - Sao Paulo, Brazil",JFK,GRU,40.6,-73.79,-23.42,-46.48,4742,1
47,"London, United Kingdom - Milan, Italy",LHR,LIN,51.5,-0.45,45.47,9.18,607,1
48,"London, United Kingdom - Milan, Italy",LHR,LIN,51.5,-0.45,45.47,9.18,607,1
49,"London, United Kingdom - Milan, Italy",LHR,LIN,51.5,-0.45,45.47,9.18,607,1
50,"London, United Kingdom - Milan, Italy",LHR,LIN,51.5,-0.45,45.47,9.18,607,1
51,"London, United Kingdom - Milan, Italy",LHR,LIN,51.5,-0.45,45.47,9.18,607,1
52,"London, United Kingdom - Tokyo, Japan",LHR,NRT,51.5,-0.45,35.75,140.39,5974,1
53,"London, United Kingdom - Tokyo, Japan",LHR,NRT,51.5,-0.45,35.75,140.39,5974,1
54,"London, United Kingdom - Tokyo, Japan",LHR,NRT,51.5,-0.45,35.75,140.39,5974,1
55,"Dubai, United Arab Emirates - London, United Kingdom",DXB,LHR,25.3,55.35,51.47,-0.45,3417,1
56,"Dubai, United Arab Emirates - London, United Kingdom",DXB,LHR,25.3,55.35,51.47,-0.45,3417,1
57,"Dubai, United Arab Emirates - London, United Kingdom",DXB,LHR,25.3,55.35,51.47,-0.45,3417,1
58,"Dubai, United Arab Emirates - London, United Kingdom",DXB,LHR,25.3,55.35,51.47,-0.45,3417,1
59,"London, United Kingdom - Moscow, Russia",DME,LHR,55.4,37.9,51.47,-0.45,1586,1
60,"London, United Kingdom - Moscow, Russia",DME,LHR,55.4,37.9,51.47,-0.45,1586,1
61,"London, United Kingdom - Moscow, Russia",DME,LHR,55.4,37.9,51.47,-0.45,1586,1
62,"Newark, United States Of America - Singapore, Singapore",EWR,SIN,40.7,-74.18,1.34,103.98,9535,1
63,"Newark, United States Of America - Singapore, Singapore",EWR,SIN,40.7,-74.18,1.34,103.98,9535,1
64,"London, United Kingdom - Madras, India",LHR,MAA,51.5,-0.45,13.05,80.23,5120,1
65,"London, United Kingdom - Madras, India",LHR,MAA,51.5,-0.45,13.05,80.23,5120,1
66,"London, United Kingdom - Madras, India",LHR,MAA,51.5,-0.45,13.05,80.23,5120,1
67,"London, United Kingdom - Madras, India",LHR,MAA,51.5,-0.45,13.05,80.23,5120,1
68,"London, United Kingdom - Madras, India",LHR,MAA,51.5,-0.45,13.05,80.23,5120,1
69,"Boston, United States Of America - London, United Kingdom",LHR,BOS,51.5,-0.45,42.21,-71.0,3271,1
70,"Boston, United States Of America - London, United Kingdom",LHR,BOS,51.5,-0.45,42.21,-71.0,3271,1
71,"London, United Kingdom - San Francisco, United States Of America",SFO,LHR,37.6,-122.39,51.47,-0.45,5369,1
72,"London, United Kingdom - San Francisco, United States Of America",SFO,LHR,37.6,-122.39,51.47,-0.45,5369,1
73,"London, United Kingdom - Sao Paulo, Brazil",LHR,GRU,51.5,-0.45,-23.42,-46.48,5864,1
74,"London, United Kingdom - Sao Paulo, Brazil",LHR,GRU,51.5,-0.45,-23.42,-46.48,5864,1
75,"London, United Kingdom - Sao Paulo, Brazil",LHR,GRU,51.5,-0.45,-23.42,-46.48,5864,1
76,"London, United Kingdom - Singapore, Singapore",SIN,LHR,1.3,103.98,51.47,-0.45,6767,1
77,"London, United Kingdom - Singapore, Singapore",SIN,LHR,1.3,103.98,51.47,-0.45,6767,1
78,"London, United Kingdom - Madrid, Spain",LHR,MAD,51.5,-0.45,40.46,-3.58,777,1
79,"London, United Kingdom - Madrid, Spain",LHR,MAD,51.5,-0.45,40.46,-3.58,777,1
80,"London, United Kingdom - Madrid, Spain",LHR,MAD,51.5,-0.45,40.46,-3.58,777,1
81,"London, United Kingdom - Madrid, Spain",LHR,MAD,51.5,-0.45,40.46,-3.58,777,1
82,"London, United Kingdom - Madrid, Spain",LHR,MAD,51.5,-0.45,40.46,-3.58,777,1
83,"London, United Kingdom - Madrid, Spain",LHR,MAD,51.5,-0.45,40.46,-3.58,777,1
84,"Hong Kong, Hong Kong - New York, United States Of America",HKG,JFK,22.3,113.94,40.64,-73.79,8072,1
85,"Chicago, United States Of America - New York, United States Of America",ORD,LGA,41.6,-98.93,40.77,-73.88,1303,1
86,"Chicago, United States Of America - New York, United States Of America",ORD,LGA,41.6,-98.93,40.77,-73.88,1303,1
87,"Chicago, United States Of America - New York, United States Of America",ORD,LGA,41.6,-98.93,40.77,-73.88,1303,1
88,"Boston, United States Of America - New York, United States Of America",LGA,BOS,40.8,-73.88,42.21,-71.0,178,1
89,"Boston, United States Of America - New York, United States Of America",LGA,BOS,40.8,-73.88,42.21,-71.0,178,1
90,"Boston, United States Of America - New York, United States Of America",LGA,BOS,40.8,-73.88,42.21,-71.0,178,1
91,"Boston, United States Of America - New York, United States Of America",LGA,BOS,40.8,-73.88,42.21,-71.0,178,1
92,"London, United Kingdom - Nairobi, Kenya",NBO,LHR,-1.3,36.81,51.47,-0.45,4237,1
93,"Johannesburg, South Africa - Nairobi, Kenya",JNB,NBO,-26.1,28.23,-1.28,36.81,1800,1
94,"Glasgow, United Kingdom - London, United Kingdom",LCY,GLA,51.5,0.05,55.86,-4.43,353,1
95,"Glasgow, United Kingdom - London, United Kingdom",LCY,GLA,51.5,0.05,55.86,-4.43,353,1
96,"Glasgow, United Kingdom - London, United Kingdom",LCY,GLA,51.5,0.05,55.86,-4.43,353,1
97,"Glasgow, United Kingdom - London, United Kingdom",LCY,GLA,51.5,0.05,55.86,-4.43,353,1
98,"Glasgow, United Kingdom - London, United Kingdom",LCY,GLA,51.5,0.05,55.86,-4.43,353,1
